attr_path,pname,version,forge_type,origin_url,owner,repo,rev,rev_type,hash,fetch_url
python3Packages.pysbd,pysbd,0.3.4,fetchFromGitHub,https://github.com/nipunsadvilkar/pySBD,nipunsadvilkar,pySBD,v0.3.4,tag,12p7qm237z56hw4zr03n8rycgfymhki2m9c4w3ib0mvqq122a5dp,https://github.com/nipunsadvilkar/pySBD/archive/v0.3.4.tar.gz
python3Packages.pyscard,pyscard,2.3.1,fetchFromGitHub,https://github.com/LudovicRousseau/pyscard,LudovicRousseau,pyscard,refs/tags/2.3.1,tag,sha256-MW/Cg7Ta/LdY/pOomsEecVIt62rc5qSAGjpJl4m+ruM=,https://github.com/LudovicRousseau/pyscard/archive/refs/tags/2.3.1.tar.gz
python3Packages.pyslurm,pyslurm,25.5.0,fetchFromGitHub,https://github.com/PySlurm/pyslurm,PySlurm,pyslurm,refs/tags/v25.5.0,tag,sha256-2FEBOKMN3IhJZu+QQ3nWQfxom6wpZUuQouF7TRYndTs=,https://github.com/PySlurm/pyslurm/archive/refs/tags/v25.5.0.tar.gz
python3Packages.pysnmp,pysnmp,7.1.22,fetchFromGitHub,https://github.com/lextudio/pysnmp,lextudio,pysnmp,refs/tags/v7.1.22,tag,sha256-uEOhOVXaz4g1Ciun8x2AT8pRBkKR6uEfu4KJ1XSwouY=,https://github.com/lextudio/pysnmp/archive/refs/tags/v7.1.22.tar.gz
python3Packages.pystray,pystray,0.19.5,fetchFromGitHub,https://github.com/moses-palmer/pystray,moses-palmer,pystray,v0.19.5,tag,sha256-CZhbaXwKFrRBEomzfFPMQdMkTOl5lbgI64etfDRiRu4=,https://github.com/moses-palmer/pystray/archive/v0.19.5.tar.gz
python3Packages.pytenable,pytenable,1.9.0,fetchFromGitHub,https://github.com/tenable/pyTenable,tenable,pyTenable,refs/tags/1.9.0,tag,sha256-ml5364D3qvd6VNhF2JyGoCzxbdO0DBkaBMoD38O5x8o=,https://github.com/tenable/pyTenable/archive/refs/tags/1.9.0.tar.gz
python3Packages.pytest-fixture-config,pytest-fixture-config,1.8.1,fetchFromGitHub,https://github.com/man-group/pytest-plugins,man-group,pytest-plugins,refs/tags/v1.8.1,tag,sha256-fLctuuvHVk9GvQB5cTL4/T7GeWzJ2zLJpwZqq9/6C30=,https://github.com/man-group/pytest-plugins/archive/refs/tags/v1.8.1.tar.gz
python3Packages.pytest-server-fixtures,pytest-server-fixtures,1.8.1,fetchFromGitHub,https://github.com/man-group/pytest-plugins,man-group,pytest-plugins,refs/tags/v1.8.1,tag,sha256-fLctuuvHVk9GvQB5cTL4/T7GeWzJ2zLJpwZqq9/6C30=,https://github.com/man-group/pytest-plugins/archive/refs/tags/v1.8.1.tar.gz
python3Packages.pytest-shutil,pytest-shutil,1.8.1,fetchFromGitHub,https://github.com/man-group/pytest-plugins,man-group,pytest-plugins,refs/tags/v1.8.1,tag,sha256-fLctuuvHVk9GvQB5cTL4/T7GeWzJ2zLJpwZqq9/6C30=,https://github.com/man-group/pytest-plugins/archive/refs/tags/v1.8.1.tar.gz
python3Packages.pytest-virtualenv,pytest-virtualenv,1.8.1,fetchFromGitHub,https://github.com/man-group/pytest-plugins,man-group,pytest-plugins,refs/tags/v1.8.1,tag,sha256-fLctuuvHVk9GvQB5cTL4/T7GeWzJ2zLJpwZqq9/6C30=,https://github.com/man-group/pytest-plugins/archive/refs/tags/v1.8.1.tar.gz
python3Packages.python-box,python-box,7.3.2,fetchFromGitHub,https://github.com/cdgriffith/Box,cdgriffith,Box,refs/tags/7.3.2,tag,sha256-aVPjIoizqC0OcG5ziy/lvp/JsFSUvcLUqJ03mKViKFs=,https://github.com/cdgriffith/Box/archive/refs/tags/7.3.2.tar.gz
python3Packages.python-docs-theme,python-docs-theme,2025.12,fetchFromGitHub,https://github.com/python/python-docs-theme,python,python-docs-theme,refs/tags/2025.12,tag,sha256-isKfYgakIsPdMSATx9tjjb+U8oERN560NkBDkbt9AeM=,https://github.com/python/python-docs-theme/archive/refs/tags/2025.12.tar.gz
python3Packages.python-docx,python-docx,1.2.0,fetchFromGitHub,https://github.com/python-openxml/python-docx,python-openxml,python-docx,refs/tags/v1.2.0,tag,sha256-5x2VmMiY5fZiXoswCDcs89olL0vbpGzmJZThrNS/SmI=,https://github.com/python-openxml/python-docx/archive/refs/tags/v1.2.0.tar.gz
